"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.035417,0.00023581,0,0.0029268,1,0.052,0.5,0.052,0.1
-0.036005,0.00024332,0,0.0029253,1,0.053,0.5,0.053,0.1
-0.036593,0.00025083,0,0.0029238,1,0.054,0.5,0.054,0.1
-0.037181,0.00025834,0,0.0029223,1,0.055,0.5,0.055,0.1
-0.037769,0.00026585,0,0.0029208,1,0.056,0.5,0.056,0.1
-0.038357,0.00027336,0,0.0029193,1,0.057,0.5,0.057,0.1
-0.038946,0.00028087,0,0.0029179,1,0.058,0.5,0.058,0.1
-0.039534,0.00028838,0,0.0029164,1,0.059,0.5,0.059,0.1
-0.040122,0.00029589,0,0.0029149,1,0.06,0.5,0.06,0.1
-0.04071,0.0003034,0,0.0029134,1,0.061,0.5,0.061,0.1
-0.041298,0.00031091,0,0.0029119,1,0.062,0.5,0.062,0.1
-0.041886,0.00031843,0,0.0029104,1,0.063,0.5,0.063,0.1
-0.042474,0.00032594,0,0.0029089,1,0.064,0.5,0.064,0.1
-0.043063,0.00033345,0,0.0029074,1,0.065,0.5,0.065,0.1
-0.043651,0.00034096,0,0.0029059,1,0.066,0.5,0.066,0.1
-0.044239,0.00034847,0,0.0029045,1,0.067,0.5,0.067,0.1
-0.044827,0.00035598,0,0.002903,1,0.068,0.5,0.068,0.1
-0.045415,0.00036349,0,0.0029015,1,0.069,0.5,0.069,0.1
-0.046003,0.000371,0,0.0029,1,0.07,0.5,0.07,0.1
-0.046592,0.00037851,0,0.0028985,1,0.071,0.5,0.071,0.1
-0.04718,0.00038602,0,0.002897,1,0.072,0.5,0.072,0.1
-0.047768,0.00039353,0,0.0028955,1,0.073,0.5,0.073,0.1
-0.048356,0.00040104,0,0.002894,1,0.074,0.5,0.074,0.1
-0.048944,0.00040855,0,0.0028925,1,0.075,0.5,0.075,0.1
-0.049487,0.00041708,0,0.0028888,1,0.076,0.5,0.076,0.1
-0.050031,0.00042561,0,0.002885,1,0.077,0.5,0.077,0.1
-0.050574,0.00043414,0,0.0028813,1,0.078,0.5,0.078,0.1
-0.051117,0.00044268,0,0.0028775,1,0.079,0.5,0.079,0.1
-0.05166,0.00045121,0,0.0028737,1,0.08,0.5,0.08,0.1
-0.052203,0.00045974,0,0.00287,1,0.081,0.5,0.081,0.1
-0.052746,0.00046827,0,0.0028662,1,0.082,0.5,0.082,0.1
-0.053289,0.0004768,0,0.0028625,1,0.083,0.5,0.083,0.1
-0.053833,0.00048534,0,0.0028587,1,0.084,0.5,0.084,0.1
-0.054376,0.00049387,0,0.0028549,1,0.085,0.5,0.085,0.1
-0.054919,0.0005024,0,0.0028512,1,0.086,0.5,0.086,0.1
-0.055462,0.00051093,0,0.0028474,1,0.087,0.5,0.087,0.1
-0.056005,0.00051946,0,0.0028437,1,0.088,0.5,0.088,0.1
-0.056548,0.000528,0,0.0028399,1,0.089,0.5,0.089,0.1
-0.057092,0.00053653,0,0.0028361,1,0.09,0.5,0.09,0.1
-0.057635,0.00054506,0,0.0028324,1,0.091,0.5,0.091,0.1
-0.058178,0.00055359,0,0.0028286,1,0.092,0.5,0.092,0.1
-0.058721,0.00056212,0,0.0028249,1,0.093,0.5,0.093,0.1
-0.059264,0.00057066,0,0.0028211,1,0.094,0.5,0.094,0.1
-0.059807,0.00057919,0,0.0028173,1,0.095,0.5,0.095,0.1
-0.06035,0.00058772,0,0.0028136,1,0.096,0.5,0.096,0.1
-0.060894,0.00059625,0,0.0028098,1,0.097,0.5,0.097,0.1
-0.061437,0.00060478,0,0.0028061,1,0.098,0.5,0.098,0.1
-0.06198,0.00061332,0,0.0028023,1,0.099,0.5,0.099,0.1
-0.062523,0.00062185,0,0.0027986,1,0.1,0.5,0.1,0.1
-0.063032,0.0006319,0,0.0027918,1,0.101,0.5,0.101,0.1
-0.063541,0.00064196,0,0.002785,1,0.102,0.5,0.102,0.1
-0.06405,0.00065201,0,0.0027783,1,0.103,0.5,0.103,0.1
-0.064559,0.00066207,0,0.0027715,1,0.104,0.5,0.104,0.1
-0.065069,0.00067213,0,0.0027648,1,0.105,0.5,0.105,0.1
-0.065578,0.00068218,0,0.002758,1,0.106,0.5,0.106,0.1
-0.066087,0.00069224,0,0.0027513,1,0.107,0.5,0.107,0.1
-0.066596,0.00070229,0,0.0027445,1,0.108,0.5,0.108,0.1
-0.067105,0.00071235,0,0.0027378,1,0.109,0.5,0.109,0.1
-0.067614,0.0007224,0,0.002731,1,0.11,0.5,0.11,0.1
-0.068123,0.00073246,0,0.0027243,1,0.111,0.5,0.111,0.1
-0.068632,0.00074252,0,0.0027175,1,0.112,0.5,0.112,0.1
-0.069141,0.00075257,0,0.0027108,1,0.113,0.5,0.113,0.1
-0.06965,0.00076263,0,0.002704,1,0.114,0.5,0.114,0.1
-0.070159,0.00077268,0,0.0026973,1,0.115,0.5,0.115,0.1
-0.070668,0.00078274,0,0.0026905,1,0.116,0.5,0.116,0.1
-0.071177,0.00079279,0,0.0026837,1,0.117,0.5,0.117,0.1
-0.071687,0.00080285,0,0.002677,1,0.118,0.5,0.118,0.1
-0.072196,0.00081291,0,0.0026702,1,0.119,0.5,0.119,0.1
-0.072705,0.00082296,0,0.0026635,1,0.12,0.5,0.12,0.1
-0.073214,0.00083302,0,0.0026567,1,0.121,0.5,0.121,0.1
-0.073723,0.00084307,0,0.00265,1,0.122,0.5,0.122,0.1
-0.074232,0.00085313,0,0.0026432,1,0.123,0.5,0.123,0.1
-0.074741,0.00086318,0,0.0026365,1,0.124,0.5,0.124,0.1
-0.07525,0.00087324,0,0.0026297,1,0.125,0.5,0.125,0.1
-0.075734,0.00088607,0,0.0026191,1,0.126,0.5,0.126,0.1
-0.076218,0.00089891,0,0.0026084,1,0.127,0.5,0.127,0.1
-0.076702,0.00091174,0,0.0025977,1,0.128,0.5,0.128,0.1
-0.077185,0.00092457,0,0.002587,1,0.129,0.5,0.129,0.1
-0.077669,0.00093741,0,0.0025764,1,0.13,0.5,0.13,0.1
-0.078153,0.00095024,0,0.0025657,1,0.131,0.5,0.131,0.1
-0.078637,0.00096307,0,0.002555,1,0.132,0.5,0.132,0.1
-0.079121,0.00097591,0,0.0025444,1,0.133,0.5,0.133,0.1
-0.079604,0.00098874,0,0.0025337,1,0.134,0.5,0.134,0.1
-0.080088,0.0010016,0,0.002523,1,0.135,0.5,0.135,0.1
-0.080572,0.0010144,0,0.0025124,1,0.136,0.5,0.136,0.1
-0.081056,0.0010272,0,0.0025017,1,0.137,0.5,0.137,0.1
-0.08154,0.0010401,0,0.002491,1,0.138,0.5,0.138,0.1
-0.082023,0.0010529,0,0.0024803,1,0.139,0.5,0.139,0.1
-0.082507,0.0010657,0,0.0024697,1,0.14,0.5,0.14,0.1
-0.082991,0.0010786,0,0.002459,1,0.141,0.5,0.141,0.1
-0.083475,0.0010914,0,0.0024483,1,0.142,0.5,0.142,0.1
-0.083958,0.0011042,0,0.0024377,1,0.143,0.5,0.143,0.1
-0.084442,0.0011171,0,0.002427,1,0.144,0.5,0.144,0.1
-0.084926,0.0011299,0,0.0024163,1,0.145,0.5,0.145,0.1
-0.08541,0.0011427,0,0.0024057,1,0.146,0.5,0.146,0.1
-0.085894,0.0011556,0,0.002395,1,0.147,0.5,0.147,0.1
-0.086377,0.0011684,0,0.0023843,1,0.148,0.5,0.148,0.1
-0.086861,0.0011812,0,0.0023737,1,0.149,0.5,0.149,0.1
-0.087345,0.0011941,0,0.002363,1,0.15,0.5,0.15,0.1
-0.08781,0.0012115,0,0.0023474,1,0.151,0.5,0.151,0.1
-0.088275,0.001229,0,0.0023317,1,0.152,0.5,0.152,0.1
-0.088741,0.0012465,0,0.0023161,1,0.153,0.5,0.153,0.1
-0.089206,0.0012639,0,0.0023005,1,0.154,0.5,0.154,0.1
-0.089671,0.0012814,0,0.0022849,1,0.155,0.5,0.155,0.1
-0.090136,0.0012989,0,0.0022692,1,0.156,0.5,0.156,0.1
-0.090601,0.0013163,0,0.0022536,1,0.157,0.5,0.157,0.1
-0.091067,0.0013338,0,0.002238,1,0.158,0.5,0.158,0.1
